text,sentiment
"@anystallion @jonxstt e mesmo assim, os solos da anitta tem mais streams que os da megan",Positive
"Queria ter uma amg q nem a Anitta q paga todo o role pros amigos leva pras viagens, sonho",Positive
@itaniitta igual anitta nunca será karol g ou rosalia  https://t.co/saNPCJt9T4,Positive
"@Rafaelnirrer @worldgyeom @iBlogueirinha rlx cara, a Anitta nem sabe que tu existe, ela não vai ser tua amiga",Negative
"@selenapuzzy @homem_meiobicha @envxlver @isissw1ft @forumpandlr vocês vivem se metendo nas publicações da Anitta, nada mais justo.",Positive
"@MayorAnitta falando de escoro sendo fã da anitta, sendo assim anitta era pra tá estável com +40m de tantos escoros que a coitada já tentou https://t.co/GOKq7PFkhY",Negative
amo as antigas da Anitta,Positive
@forumpandlr Anitta você é luz é vai brilhar muito e muito pelo mundo,Positive
Anitta smp dando palco pra gnt lixo,Negative
@vaguinitto A música tá hitando em algum lugar?,Negative
"simplesmente sem acreditar que kayke rejeitou uma sugestão de música e solta um ""não! EU quero ouvir mais+++ anitta!"" 

venci",Positive
Se a Anitta lançasse um feat com a melody ia quebrar a internet,Positive
@QGdoPOP O medo de perder os 15 minutos de fama q a Anitta deu https://t.co/9L037LVjh7,Negative
"@homem_meiobicha @selenapuzzy @envxlver @isissw1ft @forumpandlr ué, crucificar a anitta por algo que foge do controle dela, pode. 
e da taylor não? kkkkkkkkk",Positive
@AcessoAnittaR @freddepalma @Anitta Eu sempre ouço. Amo amo,Positive
@forumpandlr Jaja val atacar a anitta por isso,Positive
@iBlogueirinha @iBlogueirinha é verdade que a @Anitta plagiou zug zug?,Negative
@VanderleyVirna o story dela no insta. Virou feminaze chata e achar q pode controlar páginas de fofoca… Nem a Anitta consegue. Nessa indústria ou vc vira refém ou vc vive sua vida.,Negative
@furacaodacpi123 @julinhafuracaoo Ta cm cara de Photoshop,Negative
"@cgr_077 @choquei pois então, tem que expor mesmo",Negative
"@ludsessiion @dxvsbey Não, preferimos anitta msm https://t.co/j6sR3beAhq",Positive
@selenapuzzy @homem_meiobicha @envxlver @isissw1ft @forumpandlr assim como a anitta não tem por conta do modelo do clipe 🤷🏻‍♂️,Negative
@pupokka__ Amg tu tem um fogo de três chloe e cinco anitta,Negative
@siteptbr a anitta eh pior no off pt,Negative
Gente a voz da Anitta é única né? É tão boa de ouvir🥺,Positive
@S2tavio Eu tô morrendo kkkkkkkkkk foi bug,Negative
tbm q que tá indo mandar eae pra dançarino de clip de anitta tantas coisas legais o fazer no tempo livre ler uma carta de tarô bater um suco de limão e couve bater uma punheta,Negative
"@siteptbr Fama passageira… Pd passar já 
A Anitta levanta cada escroto aff
Tem cara de viado sim 👍🏻",Negative
"o quão lgbt cult br 🇧🇷 você é?

Alcione ✅
Anitta ✅
Ludmilla ✅
Claudia Leitte ✅(escuto em off)
Daniela Mercury ❌
Margareth Menezes ❌
Ivete Sangalo  ✅
Zélia Duncan ❌️
Ana Carolina ✅
IZA ✅
Pabllo Vittar ✅️
Sandy ❌
Glória Groove✅
Bethânia ✅
Gal Costa ❌️
Joelma ✅",Positive
@anystallion @jonxstt a megan sustentando ps ouvintes pelos feats,Negative
@lipexanitta @alfonsolacruzz @Anitta Isso ficou mto bom,Positive
"@homem_meiobicha @selenapuzzy @envxlver @isissw1ft @forumpandlr quem está criticando é um fã da taylor, se a fav de vocês não é exemplo n tem o por quê de crucificar a Anitta.",Positive
"@jonxstt os ouvintes da megan só estão ai, por causa dos feats (escoros) que ela tem https://t.co/EwDM74ReCf",Negative
"@QGdoPOP Um homofóbico de merda. Só tá pedindo desculpas pq tá ""famosinho"". Tonto é quem fica dando biscoito pra gente assim. A única coisa que tem pra oferecer é dar o p4u pra Anitta chupar.",Negative
@pgwking Nem posso insultar o Anitta pq no susi a situação é duas vezes pior 💔💔,Positive
"@outyeju @mahbbrnd @leavemelon3ly Perdeu o que ? Kkkkk acorda, tu é desconhecido até no teu bairro e vem querer falar da Anitta? Kkkkkkk acorda viado desempregado",Positive
@envolxver @selenapuzzy @envxlver @isissw1ft @forumpandlr Quer condenar a Taylor por um rolo que não durou nem 2 semanas msm sendo fã da Anitta q mantém amizade com um agressor que foi condenado por violência doméstica?,Negative
mais internacional que a anitta https://t.co/GT3EYGHNtq,Negative
"@jonxstt fala de hit solo joninha, e quando lançar sabemos que vai flopar! e olha que nem falei do último álbum dela fracasso total https://t.co/4IGOi6J5Mc",Negative
Todo mundo que faz feat com a Anitta assim,Positive
Meu Deus é essa chuva aqui em Recife que não para meu pai. Meu quarto já já vira uma Lagoa de tanta pingueira 😩,Negative
@QGdoPOP A Anitta paga tanto de desconstruída mas só dá palco pra homofo****,Negative
@choquei Culpa da Anitta chô,Negative
@Rafaelnirrer @CryptoGat0 @iBlogueirinha tinha que ser fã da anitta com qi igual a 0,Negative
"@tarc1linda Ih, duvido. Mó cara de quem gosta de barbudo",Negative
Eu ja  to ficando ate zonza com o hater que a Anitta ta  leevando. Olha... Cade  os demonitters ?!,Positive
"@caiox25 @isissw1ft @forumpandlr se for por isso sou mais que você já que aclamo não só ela, como até outras artistas, anitta out",Positive
@AnittaCrave Foi ele que falou que se ganhasse a copa queria a Anitta como troféu?,Negative
ouvir as músicas antigas da anitta me deixa com um ego de outro mundo,Positive
O lacruz virou meu fav e de cara assim se tiver feat com a anitta vai ser tudo p mim,Positive
a fala sério a gente tava muito capa álbum da Anitta aqui https://t.co/QJZiU6QWqE,Positive
