,text
0,@ninlovs @updatecharts Anitta também mas ninguém fala nada
1,@envolxver @selenapuzzy @envxlver @isissw1ft @forumpandlr Me diz aq rapidão como ela manter amizade com esse cara foge do controle da Anitta? https://t.co/uViGz6p8XN
2,@bellacmpos @forumpandlr Kkk tu odeia a Anitta mesmo né
3,"@anystallion @jonxstt e mesmo assim, os solos da anitta tem mais streams que os da megan"
4,"Queria ter uma amg q nem a Anitta q paga todo o role pros amigos leva pras viagens, sonho"
5,@itaniitta igual anitta nunca será karol g ou rosalia  https://t.co/saNPCJt9T4
6,"@Rafaelnirrer @worldgyeom @iBlogueirinha rlx cara, a Anitta nem sabe que tu existe, ela não vai ser tua amiga"
7,"@selenapuzzy @homem_meiobicha @envxlver @isissw1ft @forumpandlr vocês vivem se metendo nas publicações da Anitta, nada mais justo."
8,"@MayorAnitta falando de escoro sendo fã da anitta, sendo assim anitta era pra tá estável com +40m de tantos escoros que a coitada já tentou https://t.co/GOKq7PFkhY"
9,"""sou fã da  Anitta mas admito quue...""

Odeio gente assiim 👆"
10,amo as antigas da Anitta
11,"Tenho tantas opiniões pra dar sobre o caso da estagiária, a tour do modelo da anitta, a tidinha do umarizal, o pedofilo da guria de 12 anos e até sobre a tour da menina que descobriu traição pelo cesto de lixo, mas vou me abster pelo meu bem"
12,@forumpandlr Anitta você é luz é vai brilhar muito e muito pelo mundo
13,Anitta smp dando palco pra gnt lixo
14,@vaguinitto A música tá hitando em algum lugar?
15,"simplesmente sem acreditar que kayke rejeitou uma sugestão de música e solta um ""não! EU quero ouvir mais+++ anitta!"" 

venci"
16,"Um fato: hoje, a Melody é uma artista muito melhor que a Anitta."
17,@xniitta @Anitta O desespero por causa de charts
18,@choquei Já nasceu morto! @Anitta  tem dedo podre pra macho mesmo!
19,Se a Anitta lançasse um feat com a melody ia quebrar a internet
20,@QGdoPOP O medo de perder os 15 minutos de fama q a Anitta deu https://t.co/9L037LVjh7
21,"@homem_meiobicha @selenapuzzy @envxlver @isissw1ft @forumpandlr ué, crucificar a anitta por algo que foge do controle dela, pode. 
e da taylor não? kkkkkkkkk"
22,@AcessoAnittaR @freddepalma @Anitta Eu sempre ouço. Amo amo
23,@forumpandlr Jaja val atacar a anitta por isso
24,@iBlogueirinha @iBlogueirinha é verdade que a @Anitta plagiou zug zug?
25,@VanderleyVirna o story dela no insta. Virou feminaze chata e achar q pode controlar páginas de fofoca… Nem a Anitta consegue. Nessa indústria ou vc vira refém ou vc vive sua vida.
26,@furacaodacpi123 @julinhafuracaoo Ta cm cara de Photoshop
27,"@cgr_077 @choquei pois então, tem que expor mesmo"
28,"@ludsessiion @dxvsbey Não, preferimos anitta msm https://t.co/j6sR3beAhq"
29,@selenapuzzy @homem_meiobicha @envxlver @isissw1ft @forumpandlr assim como a anitta não tem por conta do modelo do clipe 🤷🏻‍♂️
30,@pupokka__ Amg tu tem um fogo de três chloe e cinco anitta
31,@siteptbr a anitta eh pior no off pt
32,Gente a voz da Anitta é única né? É tão boa de ouvir🥺
33,@S2tavio Eu tô morrendo kkkkkkkkkk foi bug
34,tbm q que tá indo mandar eae pra dançarino de clip de anitta tantas coisas legais o fazer no tempo livre ler uma carta de tarô bater um suco de limão e couve bater uma punheta
35,"@siteptbr Fama passageira… Pd passar já 
A Anitta levanta cada escroto aff
Tem cara de viado sim 👍🏻"
36,"o quão lgbt cult br 🇧🇷 você é?

Alcione ✅
Anitta ✅
Ludmilla ✅
Claudia Leitte ✅(escuto em off)
Daniela Mercury ❌
Margareth Menezes ❌
Ivete Sangalo  ✅
Zélia Duncan ❌️
Ana Carolina ✅
IZA ✅
Pabllo Vittar ✅️
Sandy ❌
Glória Groove✅
Bethânia ✅
Gal Costa ❌️
Joelma ✅"
37,@anystallion @jonxstt a megan sustentando ps ouvintes pelos feats
38,@lipexanitta @alfonsolacruzz @Anitta Isso ficou mto bom
39,"@homem_meiobicha @selenapuzzy @envxlver @isissw1ft @forumpandlr quem está criticando é um fã da taylor, se a fav de vocês não é exemplo n tem o por quê de crucificar a Anitta."
40,"@jonxstt os ouvintes da megan só estão ai, por causa dos feats (escoros) que ela tem https://t.co/EwDM74ReCf"
41,"@QGdoPOP Um homofóbico de merda. Só tá pedindo desculpas pq tá ""famosinho"". Tonto é quem fica dando biscoito pra gente assim. A única coisa que tem pra oferecer é dar o p4u pra Anitta chupar."
42,@pgwking Nem posso insultar o Anitta pq no susi a situação é duas vezes pior 💔💔
43,"@outyeju @mahbbrnd @leavemelon3ly Perdeu o que ? Kkkkk acorda, tu é desconhecido até no teu bairro e vem querer falar da Anitta? Kkkkkkk acorda viado desempregado"
44,@envolxver @selenapuzzy @envxlver @isissw1ft @forumpandlr Quer condenar a Taylor por um rolo que não durou nem 2 semanas msm sendo fã da Anitta q mantém amizade com um agressor que foi condenado por violência doméstica?
45,mais internacional que a anitta https://t.co/GT3EYGHNtq
46,"@jonxstt fala de hit solo joninha, e quando lançar sabemos que vai flopar! e olha que nem falei do último álbum dela fracasso total https://t.co/4IGOi6J5Mc"
47,Todo mundo que faz feat com a Anitta assim
48,Meu Deus é essa chuva aqui em Recife que não para meu pai. Meu quarto já já vira uma Lagoa de tanta pingueira 😩
49,@QGdoPOP A Anitta paga tanto de desconstruída mas só dá palco pra homofo****
50,@choquei Culpa da Anitta chô
51,@Rafaelnirrer @CryptoGat0 @iBlogueirinha tinha que ser fã da anitta com qi igual a 0
52,"@tarc1linda Ih, duvido. Mó cara de quem gosta de barbudo"
53,Eu ja  to ficando ate zonza com o hater que a Anitta ta  leevando. Olha... Cade  os demonitters ?!
54,"@caiox25 @isissw1ft @forumpandlr se for por isso sou mais que você já que aclamo não só ela, como até outras artistas, anitta out"
